1	04.13.01.01.001	Jalan Negara/Nasional Kelas I
2	04.13.01.01.002	Jalan Negara/Nasional Kelas II
3	04.13.01.01.003	Jalan Negara/Nasional Kelas III
4	04.13.01.01.004	Jalan Negara/Nasional Kelas IV
5	04.13.01.01.005	Jalan Negara/Nasional Kelas V
6	04.13.01.01.006	Jalan Negara/Nasional Arteri
7	04.13.01.01.007	Jalan Negara/Nasional Kolektor
8	04.13.01.01.008	Jalan Negara/Nasional Strategis Nasional
9	04.13.01.01.009	Jalan Nasional Kelas I Lain-lain
10	04.13.01.02.001	Jalan Propinsi Kelas I
11	04.13.01.02.002	Jalan Propinsi Kelas II
12	04.13.01.02.003	Jalan Propinsi Kelas III
13	04.13.01.02.004	Jalan Propinsi Kelas IV
14	04.13.01.02.005	Jalan Propinsi Kelas V
15	04.13.01.02.006	Jalan Propinsi Arteri
16	04.13.01.02.007	Jalan Propinsi Kolektor
17	04.13.01.02.008	Jalan Propinsi Lokal
18	04.13.01.02.009	Jalan Propinsi Strategis Propinsi
19	04.13.01.02.010	Jalan Propinsi Lain-lain
20	04.13.01.03.001	Jalan Kabupaten Kelas III
21	04.13.01.03.002	Jalan Kabupaten Kelas IV
22	04.13.01.03.003	Jalan Kabupaten Kelas V
23	04.13.01.03.004	Jalan Kabupaten Arteri
24	04.13.01.03.005	Jalan Kabupaten Kolektor
25	04.13.01.03.006	Jalan Kabupaten Lokal
26	04.13.01.03.007	Jalan Kabupaten Strategis Kabupaten
27	04.13.01.03.008	Jalan Kabupaten Lain-lain
28	04.13.01.04.001	Jalan Desa
29	04.13.01.04.002	Jalan Desa Lain-lain
30	04.13.01.05.001	Jalan Khusus
31	04.13.01.05.002	Jalan Air
32	04.13.01.05.003	Jalan Khusus Inspeksi
33	04.13.01.05.004	Jalan Khusus Komplek
34	04.13.01.05.005	Jalan Khusus Proyek
35	04.13.01.05.006	Jalan Khusus Quarry
36	04.13.01.05.007	Jalan Khusus Lori
37	04.13.01.05.008	Jalan Khusus Perorangan
38	04.13.01.05.009	Jalan Khusus Under Pass
39	04.13.01.05.010	Jalan Khusus Lain-lain
40	04.13.01.05.011	
41	04.13.01.06.001	Jalan Tol Arteri
42	04.13.01.06.002	Jalan Tol Lain-lain
43	04.13.01.07.001	Jalan Kereta Api Bantalan Besi
44	04.13.01.07.002	Jalan Kereta Api Bantalan Beton
45	04.13.01.07.003	Jalan Kereta Api Bantalan Kayu
46	04.13.01.07.004	Jalan Kereta Lain-lain
47	04.13.01.08.001	Landasan Pacu Pesawat Terbang Permukaan Beton
