1.1.1.1.1	DINAS PENDIDIKAN DAN KEBUDAYAAN
1.1.1.2.1	UPTD KEC. SERANG
1.1.1.2.2	SDLB NEGERI SERANG
1.1.1.2.3	SDN BATOK BALI
1.1.1.2.4	SDN BHAYANGKARI
1.1.1.2.5	SDN BUAH GEDE
1.1.1.2.6	SDN CICERI
1.1.1.2.7	SDN CICERI INDAH
1.1.1.2.8	SDN CIJAWA
1.1.1.2.9	SDN CIKULUR
1.1.1.2.10	SDN CILAMPANG
1.1.1.2.11	SDN CIMUNCANG
1.1.1.2.12	SDN CIMUNCANG CILIK
1.1.1.2.13	SDN CINANGGUNG
1.1.1.2.14	SDN CIPARE
1.1.1.2.15	SDN CIPARE TEGAL
1.1.1.2.16	SDN CIPUTAT
1.1.1.2.17	SDN CIWAKTU
1.1.1.2.18	SDN GEMPOL
1.1.1.2.19	SDN KALIGANDU
1.1.1.2.20	SDN KALIWADAS
1.1.1.2.21	SDN KALORAN
1.1.1.2.22	SDN KALORAN KIDUL
1.1.1.2.23	SDN KAMPUNG BARU
1.1.1.2.24	SDN KARANG TUMARITIS
1.1.1.2.25	SDN KEBAHARAN II
1.1.1.2.26	SDN KEBAHARAN I
1.1.1.2.27	SDN KEBANYAKAN
1.1.1.2.28	SDN KEBON JAHE
1.1.1.2.29	SDN KEL. UNYUR
1.1.1.2.30	SDN KELAPA DUA
1.1.1.2.31	SDN KEMANG
1.1.1.2.32	SDN KOTA BARU
1.1.1.2.33	SDN KUBANG
1.1.1.2.34	SDN KUBANG APU
1.1.1.2.35	SDN KUBANG KEMIRI
1.1.1.2.36	SDN LONTAR BARU
1.1.1.2.37	SDN LOPANG CILIK
1.1.1.2.38	SDN LOPANG DOMBA
1.1.1.2.39	SDN NEGLASARI
1.1.1.2.40	SDN PABUARAN UNYUR
1.1.1.2.41	SDN PAMINDANGAN
1.1.1.2.42	SDN PANCAMARGA
1.1.1.2.43	SDN R A W U
1.1.1.2.44	SDN SAYABULU
1.1.1.2.45	SDN SECANG
1.1.1.2.46	SDN SEMPU I
1.1.1.2.47	SDN SEMPU II
1.1.1.2.48	SDN SEPANG
1.1.1.2.49	SDN SERANG 1
1.1.1.2.50	SDN SERANG 2
1.1.1.2.51	SDN SERANG 3
1.1.1.2.52	SDN SERANG 4
1.1.1.2.53	SDN SERANG 5
1.1.1.2.54	SDN SERANG 6
1.1.1.2.55	SDN SERANG 7
1.1.1.2.56	SDN SERANG 8
1.1.1.2.57	SDN SERANG 9
1.1.1.2.58	SDN SERANG 10
1.1.1.2.59	SDN SERANG 11
1.1.1.2.60	SDN SERANG 12
1.1.1.2.61	SDN SERANG 13
1.1.1.2.62	SDN SERANG 14
1.1.1.2.63	SDN SERANG 15
1.1.1.2.64	SDN SERANG 16
1.1.1.2.65	SDN SERANG 17
1.1.1.2.66	SDN SERANG 18
