1	01.01.01.01.001	Kampung
2	01.01.01.01.002	Tanah Kampung Lain-lain
3	01.01.01.02.001	Emplasmen
4	01.01.01.02.002	Emlasemen Lainnya
5	01.01.01.03.001	Islam
6	01.01.01.03.002	Kristen
7	01.01.01.03.003	Cina
8	01.01.01.03.004	Hindu
9	01.01.01.03.005	Budha
10	01.01.01.03.006	Makam Pahlawan
11	01.01.01.03.007	Tempat Benda Bersejarah
12	01.01.01.03.008	Makam Umum/Kuburan Umum
13	01.01.01.03.009	Kuburan Lainnya
14	01.01.02.01.001	Padi
15	01.01.02.01.002	Palawija
16	01.01.02.01.003	Sawah Ditanami Tebu
17	01.01.02.01.004	Sawah Ditanami Sayuran
18	01.01.02.01.005	Sawah Ditanami Tembakau
19	01.01.02.01.006	Sawah Ditanami Roselia
20	01.01.02.01.007	Sawah Lain-lain
21	01.01.02.02.001	Buah-buahan
22	01.01.02.02.002	Tembakau
23	01.01.02.02.003	Jagung
24	01.01.02.02.004	Ketela Pohon
25	01.01.02.02.005	Kacang Tanah
26	01.01.02.02.006	Kacang Hijau
27	01.01.02.02.007	Kedelai
28	01.01.02.02.008	Ubi Jalar
29	01.01.02.02.009	Kedelai
30	01.01.02.02.010	Tegalan Lain-lain
31	01.01.02.03.001	Padi
32	01.01.02.03.002	Jagung
33	01.01.02.03.003	Ketela Pohon
34	01.01.02.03.004	Kacang Tanah
35	01.01.02.03.005	Kacang Hijau
36	01.01.02.03.006	Kedelai
37	01.01.02.03.007	Ubi Jalar
38	01.01.02.03.008	Keladi
39	01.01.02.03.009	Bengkuang
40	01.01.02.03.010	Apel
41	01.01.02.03.011	Kentang
42	01.01.02.03.012	Jeruk
43	01.01.02.03.013	Ladang Lainnya
44	01.01.03.01.001	Karet
45	01.01.03.01.002	Kopi
46	01.01.03.01.003	Kelapa
47	01.01.03.01.004	Randu
48	01.01.03.01.005	Lada
49	01.01.03.01.006	Teh
50	01.01.03.01.007	Kina
51	01.01.03.01.008	Coklat
52	01.01.03.01.009	Kelapa Sawit
53	01.01.03.01.010	Sereh
54	01.01.03.01.011	Cengkeh
55	01.01.03.01.012	Pala
56	01.01.03.01.013	Sagu
57	01.01.03.01.014	Jambu Mente
58	01.01.03.01.015	Tengkawang
59	01.01.03.01.016	Minyak Kayu Putih
60	01.01.03.01.017	Kayu Manis
61	01.01.03.01.018	Petai
62	01.01.03.01.019	Perkebunan Lain-lain
63	01.01.04.01.001	Tanaman Rupa-rupa
64	01.01.04.01.002	Tanah Kebun CampuranLain-lain
65	01.01.04.02.001	Jenis Tanaman Rupa-rupa & tidak jelas mana yang menonjol
66	01.01.04.02.002	Tanaman Luar Pekarangan
67	01.01.04.02.003	Tanah Kebun Campuran Lain-lain
68	01.01.05.01.001	Meranti
69	01.01.05.01.002	Rasamala
70	01.01.05.01.003	Bulian
71	01.01.05.01.004	Medang
72	01.01.05.01.005	Jelutung
73	01.01.05.01.006	Ramin
74	01.01.05.01.007	Puspa
75	01.01.05.01.008	Sunintem
76	01.01.05.01.009	Albenia
77	01.01.05.01.010	Kayu Besar/Ulin
78	01.01.05.01.011	Tanah Hutan Lain-lain
79	01.01.05.02.001	Semak-semak
80	01.01.05.02.002	Hutan Belukar
81	01.01.05.02.003	Hutan Belukar Lain-lain
82	01.01.05.03.001	Jati
83	01.01.05.03.002	Pinus
84	01.01.05.03.003	Rotan
85	01.01.05.03.004	Hutan Tanaman Jenis Lain-lain
86	01.01.05.04.001	Bakau
87	01.01.05.04.002	Cemara (yang tidak ditanam)
88	01.01.05.04.003	Galam
89	01.01.05.04.004	Nipah
90	01.01.05.04.005	Bambu
91	01.01.05.04.006	Rotan
92	01.01.05.04.007	Hutan Alam Sejenis Lainnya
93	01.01.05.05.001	Hutan Cadangan
94	01.01.05.05.002	Hutan Lindung
95	01.01.05.05.003	Hutan Cagar Alam
96	01.01.05.05.004	Hutan Taman Wisata
97	01.01.05.05.005	Hutan Taman Burung
98	01.01.05.05.006	Hutan Suaka Marga Satwa
99	01.01.05.05.007	Hutan Taman Nasional
100	01.01.05.05.008	Hutan Produksi
101	01.01.05.05.009	Hutan Untuk Penggunaan Khusus Lainnya
102	01.01.06.01.001	Tambak
103	01.01.06.01.002	Tambak Lainnya
104	01.01.06.02.001	Kolam Air Tawar
105	01.01.06.02.002	Air Tawar Lainnya
106	01.01.07.01.001	Rawa
107	01.01.07.01.002	Rawa Lain-lain
108	01.01.07.02.001	Danau/Situ
109	01.01.07.02.002	Waduk
110	01.01.07.02.003	Danau Lain-lain
111	01.01.08.01.001	Berbatu-batu
112	01.01.08.01.002	Longsor
113	01.01.08.01.003	Tanah Lahar
114	01.01.08.01.004	Tanah Berpasir/Pasir
115	01.01.08.01.005	Tanah Pengambilan/Kuasi
116	01.01.08.01.006	Tanah Tandus Lainnya
117	01.01.08.02.001	Tanah yang tererosi/Longsor
118	01.01.08.02.002	Bekas Tambang/Galian
119	01.01.08.02.003	Bekas Sawah/Rawa
120	01.01.08.02.004	Tanah Rusak Lain-lain
121	01.01.09.01.001	Alang-Alang
122	01.01.09.01.002	Alang-alang Lainnya
123	01.01.09.02.001	Semak Belukar
124	01.01.09.02.002	Padang Rumput
125	01.01.09.02.003	Padang Rumput Lainnya
